fileN,file,id,displayName,formattedAddress,latitude,longitude,servesCoffee,takeout,goodForChildren,goodForGroups
1,0_location.json,ChIJq6paFw3gEmsRYeJZ24otRJk,Earth Walker & Co General Store & Cafe,749 Lawrence Hargrave Dr Coledale NSW 2515 Australia,-34.2920715,150.9445067,True,True,True,True
1,0_location.json,ChIJhcctpAjhEmsR9zp_ab0ds9M,Headlands Hotel Brasserie & Bar Austinmer,1b Headland Ave Austinmer NSW 2515 Australia,-34.3012222,150.9407508,True,false,True,True
1,0_location.json,ChIJ16SvcwDhEmsRGz46V7X0l8o,Rosie’s Fish & Chips,757 Lawrence Hargrave Dr Coledale NSW 2515 Australia,-34.2924033,150.9444839,false,True,false,false
1,0_location.json,ChIJz2DwG6HhEmsRe0Fj7pudvdE,Saltie Dog - Coffee & Crêpes Coledale,748 Lawrence Hargrave Dr Coledale NSW 2515 Australia,-34.2913911,150.94425669999998,True,True,false,false
1,0_location.json,ChIJVx6cmqfhEmsR6nJkcDVb9PM,The 5th Alarm,747A Lawrence Hargrave Dr Coledale NSW 2515 Australia,-34.2917643,150.94476699999998,false,false,false,false
1,0_location.json,ChIJ0bX25RrgEmsRFti94N-KsbQ,Headlands Bistro,1 Headland Ave Scarborough NSW 2515 Australia,-34.300460099999995,150.9384847,True,false,True,True
1,0_location.json,ChIJx82R4hvgEmsRA6gFYnL_HWI,Austinmer Gardens B&B,4 Boyce Ave Austinmer NSW 2515 Australia,-34.3029072,150.9367205,false,false,True,false
2,100_location.json,ChIJU8qCndoeE2sRh6IX7J31YPI,7-Eleven,138/146 Princes Hwy Corrimal NSW 2518 Australia,-34.3699144,150.8977555,false,false,false,false
2,100_location.json,ChIJJ0jNZNAeE2sRnLxdcVFc6ec,Corrimal RSL Memorial Club,168 Princes Hwy Corrimal NSW 2518 Australia,-34.3704612,150.89759260000002,false,false,false,false
10,108_location.json,ChIJS3KX_ToZE2sRdH1FOMngNeM,Woolworths Fairy Meadow,66 Princes Hwy Fairy Meadow NSW 2519 Australia,-34.391579,150.89386,false,false,false,false
10,108_location.json,ChIJzSZrQxYZE2sRqeT7LPO2S2c,KFC Fairy Meadow,109 Princes Hwy Cnr McGrath St Fairy Meadow NSW 2519 Australia,-34.4008379,150.8913119,False,True,True,True
